gene,entrez,distance
TNFa,7124,2
IL-2,3558,4
 IL-10 ,3586,3
IL-7 ,3574,3
 IL-6 ,3569,3
 IL-1β ,3553,3
INF-ɑ,3439,3
IP-10 ,3627,3
CTLA-4 ,1493,3
PD-1 ,5133,2
Ki67 ,4288,2
 IL-5 ,3567,4
 IL-13 ,3596,3
IL-22,50616,4
CD64   ,2209,3
CD66b ,1088,4
CRP,1401,3
ferritin l,2512,2
ferritin h,2495,2
LDH a ,3939,2
IL6,3569,3
FAS ,355,3
ACE2 ,59272,3
ITGAM  cd1b,3684,3
CD14,929,3
FCGR3Acd16,2214,2
CD68,968,3
CD163,9332,3
MRC1 cd206,4360,3
PDCD1  PD1,5133,2
IL1B,3553,3
CXCL2 ,2920,3
CXCL8 ,3576,2
GDF11,10220,2
NOG,9241,3
IL10,3586,3
CXCL10,3627,3
TNFSF10,8743,3
NRG1,3084,3
TIMP1,7076,3
C5,727,3
IL18,3606,3
AREG,374,3
CCL4,6351,3
CMTM2,146225,3
IFNG,3458,3
CTSL,1514,2
CTSB,1508,2
DDIT4,54541,2
RRAS,6237,2
CTSD,1509,2
BIRC5,332,3
CTSZ,1522,2
NTRK1,4914,2
IGFBP3,3486,3
CCNB1,891,2
RRM2,6241,2
CCNB2,9133,2
GTSE1,51512,2
CDK1,983,2
STEAP3,55240,2
TP53I3,9540,3
TGFB2,7042,3
CCL3L1,6349,3
CXCL6,6372,3
CCL8,6355,3
SCGB3A1,92304,3
CCL2,6347,3
CXCL1,2919,3
IL33,90865,3
GRN,2896,2
CXCL16,58191,3
IL-8,3576,2
IL-6,3569,3
IL-1β,3553,3
TNF,7124,2
CCL3,6348,3
CCL4 ,6351,3
CCL7,6354,3
CXCL9 ,4283,3
CXCL10 ,3627,3
CXCL11,6373,2
UNC13A,23025,3
RAB27A,5873,2
RAB3A,5864,3
RIMS1,22999,2
RPH3A,22895,2
SNAP25,6616,3
SNCA,6622,2
STX1A,6804,2
STXBP1,6812,2
STXBP5,134957,3
Syp,6855,3
Tau,4137,2
Caspase 3,836,2
Cadherin-5,1003,2
Cadherin-2,1000,2
Cadherin-3,1001,2
Cadherin-4,1002,3
Catenin delta 1,1500,2
Cateninβ ,1499,2
α Catenin ,1495,2
Occludin,100506658,2
Claudin-5,7122,3
ZO-1,7082,2
ZO-2,9414,2
ZO-3,27134,3
